segment_id,country_code,road_class_norm,land_use,sss,sss_band,speed_limit,ss_limit,speed_85th,sub_score_limit_alignment,sub_score_limit_credibility,sub_score_vru_risk,sss_recommendation,image_url,review_group
53165,TH,secondary,urban,96.0,Critical,70.0,50.0,99.33333333,80.0,100.0,100.0,Posted limit (70 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (99 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=16.687290,102.702972",TOP 20 (highest SSS)
19892,TH,primary,urban,94.7673222,Critical,80.0,50.0,110.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (110 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=16.481522,99.610825",TOP 20 (highest SSS)
20475,TH,primary,urban,94.7673222,Critical,80.0,50.0,106.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (106 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=17.382265,99.800854",TOP 20 (highest SSS)
20716,TH,primary,urban,94.7673222,Critical,80.0,50.0,106.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (106 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=17.350526,99.836787",TOP 20 (highest SSS)
22527,TH,primary,urban,94.7673222,Critical,80.0,50.0,109.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (109 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=18.326736,100.277920",TOP 20 (highest SSS)
22557,TH,primary,urban,94.7673222,Critical,80.0,50.0,105.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (105 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=14.923970,100.377857",TOP 20 (highest SSS)
29668,TH,primary,urban,94.7673222,Critical,80.0,50.0,105.0,100.0,100.0,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (105 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=15.042158,103.152413",TOP 20 (highest SSS)
34330,TH,primary,urban,94.7673222,Critical,90.0,50.0,115.5,100.0,100.0,85.04949199999999,Posted limit (90 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (116 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=13.773608,102.115973",TOP 20 (highest SSS)
52405,TH,secondary,urban,92.8,Critical,66.0,50.0,113.66666667,64.0,100.0,100.0,Posted limit (66 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (114 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=12.685679,102.093581",TOP 20 (highest SSS)
29716,TH,primary,urban,91.96709492727268,Critical,80.0,50.0,105.0,100.0,93.77727272727263,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (105 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=15.484107,103.211913",TOP 20 (highest SSS)
20092,TH,primary,urban,90.83055856363632,Critical,80.0,50.0,104.0,100.0,91.25163636363627,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (104 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=7.415775,99.638322",TOP 20 (highest SSS)
19550,TH,primary,urban,90.7673222,Critical,70.0,50.0,95.5,80.0,100.0,85.04949199999999,Posted limit (70 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (96 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=14.052388,99.451746",TOP 20 (highest SSS)
53126,TH,secondary,urban,89.41860795454545,Critical,80.0,50.0,103.0,100.0,76.48579545454545,100.0,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (103 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=15.809629,102.629648",TOP 20 (highest SSS)
19619,TH,primary,urban,88.8237222,Critical,80.0,50.0,104.0,100.0,86.79200000000002,85.04949199999999,Posted limit (80 km/h) exceeds Safe System standard (50 km/h) for this urban primary road — recommend reducing to 50 km/h. 85th percentile speed (104 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=16.539075,99.508593",TOP 20 (highest SSS)
PR/4137,MH,primary,urban,88.3619201830351,Critical,55.0,40.0,81.0,75.0,100.0,81.03405766581454,Posted limit (55 km/h) exceeds Safe System standard (40 km/h) for this urban primary road — recommend reducing to 40 km/h. 85th percentile speed (81 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=20.391719,78.128029",TOP 20 (highest SSS)
33716,TH,secondary,urban,88.0,Critical,60.0,50.0,83.0,40.0,100.0,100.0,Posted limit (60 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (83 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=18.757993,99.007630",TOP 20 (highest SSS)
37018,TH,secondary,urban,88.0,Critical,60.0,50.0,85.0,40.0,100.0,100.0,Posted limit (60 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (85 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=8.091915,98.335759",TOP 20 (highest SSS)
42621,TH,secondary,urban,88.0,Critical,60.0,50.0,94.0,40.0,100.0,100.0,Posted limit (60 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (94 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=12.942995,99.911469",TOP 20 (highest SSS)
43862,TH,secondary,urban,88.0,Critical,60.0,50.0,91.0,40.0,100.0,100.0,Posted limit (60 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (91 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=17.670037,100.113323",TOP 20 (highest SSS)
44324,TH,secondary,urban,88.0,Critical,60.0,50.0,93.0,40.0,100.0,100.0,Posted limit (60 km/h) exceeds Safe System standard (50 km/h) for this urban secondary road — recommend reducing to 50 km/h. 85th percentile speed (93 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Priority segment: recommend immediate site review.,"https://maps.google.com/maps?layer=c&cbll=17.671622,100.158722",TOP 20 (highest SSS)
174,TH,motorway,rural,10.8878,Acceptable,80.0,100.0,95.5,0.0,0.0,31.108000000000004,Posted limit (80 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. 85th percentile speed (96 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.485739,101.003786",BOTTOM 20 (lowest SSS)
31630,TH,motorway,rural,10.8878,Acceptable,80.0,100.0,78.0,0.0,0.0,31.108000000000004,Posted limit (80 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.679579,100.515373",BOTTOM 20 (lowest SSS)
31633,TH,motorway,rural,10.8878,Acceptable,80.0,100.0,70.5,0.0,0.0,31.108000000000004,Posted limit (80 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.679538,100.515516",BOTTOM 20 (lowest SSS)
33044,TH,motorway,rural,10.8878,Acceptable,90.0,100.0,87.0,0.0,0.0,31.108000000000004,Posted limit (90 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.696493,100.827073",BOTTOM 20 (lowest SSS)
33051,TH,motorway,rural,10.8878,Acceptable,90.0,100.0,94.0,0.0,0.0,31.108000000000004,Posted limit (90 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.695408,100.827066",BOTTOM 20 (lowest SSS)
33209,TH,motorway,rural,10.8878,Acceptable,90.0,100.0,53.5,0.0,0.0,31.108000000000004,Posted limit (90 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=14.476475,100.975662",BOTTOM 20 (lowest SSS)
34174,TH,motorway,rural,10.8878,Acceptable,90.0,100.0,103.6,0.0,0.0,31.108000000000004,Posted limit (90 km/h) is below Safe System standard (100 km/h) — limit may be overly restrictive. 85th percentile speed (104 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=13.639489,100.891550",BOTTOM 20 (lowest SSS)
MO/202,MH,motorway,rural,12.176444444444446,Acceptable,70.0,90.0,73.57142857142857,2.2222222222222197,0.0,33.52,Posted limit (70 km/h) is significantly below Safe System standard (90 km/h) — limit appears historically set or outdated. Drivers treat it as non-credible (see F85/median above). Road authority should review whether a limit revision is warranted. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=18.767637,73.364246",BOTTOM 20 (lowest SSS)
MO/203,MH,motorway,rural,12.176444444444446,Acceptable,70.0,90.0,51.57142857142857,2.2222222222222197,0.0,33.52,Posted limit (70 km/h) is significantly below Safe System standard (90 km/h) — limit appears historically set or outdated. Drivers treat it as non-credible (see F85/median above). Road authority should review whether a limit revision is warranted. Context: Maharashtra helmet wearing rate ~21% (SPI=0.209). Speed interventions should be paired with helmet enforcement.,"https://maps.google.com/maps?layer=c&cbll=18.767783,73.364361",BOTTOM 20 (lowest SSS)
33208,TH,motorway,rural,12.4878,Acceptable,72.0,100.0,81.8,8.000000000000002,0.0,31.108000000000004,Posted limit (72 km/h) is significantly below Safe System standard (100 km/h) — limit appears historically set or outdated. Drivers treat it as non-credible (see F85/median above). Road authority should review whether a limit revision is warranted. 85th percentile speed (82 km/h) significantly exceeds posted limit — enforcement or physical traffic calming needed. Context: Thailand rural helmet wearing rate ~67% — pair speed intervention with helmet campaign.,"https://maps.google.com/maps?layer=c&cbll=14.462075,100.923266",BOTTOM 20 (lowest SSS)
